"unigram","bigram","trigram","freq"
"one","of","the",164
"a","lot","of",117
"some","of","the",77
"a","couple","of",74
"i","have","a",74
"to","be","a",74
"as","well","as",71
"it","was","a",67
"the","end","of",67
"out","of","the",64
"the","rest","of",61
"this","is","the",60
"be","able","to",57
"going","to","be",57
"i","dont","know",57
"part","of","the",57
"one","of","my",55
"the","fact","that",55
"i","have","to",54
"there","is","a",54
"i","want","to",53
"most","of","the",51
"i","have","been",49
"the","first","time",49
"i","need","to",47
"it","is","a",47
"you","want","to",47
"it","would","be",46
"a","bit","of",44
"in","order","to",44
"is","one","of",44
"and","it","was",43
"im","going","to",43
"at","the","end",42
"end","of","the",42
"to","have","a",42
"as","much","as",41
"at","the","time",41
"rest","of","the",41
"there","is","no",41
"there","was","a",41
"this","is","a",41
"was","going","to",41
"in","the","world",40
"of","the","most",40
"i","had","a",39
"i","had","to",39
"i","wanted","to",39
"in","front","of",39
"i","am","not",38
"it","was","the",37
"that","i","am",37
"to","go","to",36
"all","of","the",34
"to","do","with",34
"a","little","bit",33
"for","the","first",33
"in","the","morning",33
"i","decided","to",32
"as","long","as",31
"dont","want","to",31
"to","be","the",31
"to","make","a",31
"would","have","been",31
"back","to","the",30
"but","it","was",30
"im","not","sure",30
"of","the","world",30
"the","united","states",30
"you","can","see",30
"and","i","was",29
"for","a","few",29
"for","me","to",29
"i","think","i",29
"if","you","are",29
"is","going","to",29
"is","not","a",29
"on","the","other",29
"one","of","those",29
"when","it","comes",29
"you","have","a",29
"and","i","am",28
"and","i","have",28
"at","the","same",28
"i","would","have",28
"in","the","middle",28
"it","is","the",28
"it","will","be",28
"to","see","the",28
"would","like","to",28
"but","it","is",27
"i","do","not",27
"if","you","dont",27
"in","the","first",27
"it","comes","to",27
"that","i","had",27
"that","i","have",27
"when","i","was",27
"you","have","to",27
"i","was","a",26
"that","it","is",26
"according","to","the",25
"i","know","i",25
"side","of","the",25
"that","i","was",25
"that","it","was",25
"to","get","the",25
"and","i","will",24
"have","to","be",24
"i","dont","think",24
"i","think","that",24
"i","will","be",24
"if","you","have",24
"in","the","last",24
"seems","to","be",24
"the","same","time",24
"to","say","that",24
"because","of","the",23
"i","dont","have",23
"i","thought","i",23
"if","you","want",23
"in","the","past",23
"it","is","not",23
"many","of","the",23
"need","to","be",23
"to","get","a",23
"a","little","more",22
"more","than","a",22
"over","the","years",22
"the","number","of",22
"the","top","of",22
"there","will","be",22
"a","few","weeks",21
"a","number","of",21
"go","back","to",21
"i","dont","want",21
"in","the","s",21
"of","my","favorite",21
"up","with","a",21
"want","to","be",21
"was","able","to",21
"what","do","you",21
"you","need","to",21
"a","chance","to",20
"as","you","can",20
